number,Address,lat,lng
01,Nil,54.154996,27.834638
01,"Minsk, Pobediteley Avenue, 20",53.931734,27.511584
010,"Minsk, Svislochskaya street, 11",53.846632,27.655503
011,"Minsk, Kirova street, 18",53.899066,27.565566
012,"Minsk, Lukyanovicha street, 10",53.944958,27.599032
013,"Minsk, Pushkin Avenue, 39",53.90808,27.49465
014,"Minsk, Pobediteley Avenue, 31-1",53.912085,27.53795
015,"Minsk, Pobediteley Avenue, 4",53.911331,27.548964
016,"Minsk, Pobediteley Avenue, 63",53.923681,27.517642
017,"Minsk, Pobediteley Avenue, 111",53.934779,27.48458
018,"Minsk, Pobediteley Avenue, 120",53.953373,27.451354
019,"Minsk city, Nezavisimosti Avenue, 193",53.954088,27.712964
02,Nil,53.903902,27.977725
02,"Minsk, Pobediteley Avenue, 84",53.937676,27.491276
020,"Minsk city, Nezavisimosti Avenue, 195",53.954655,27.714536
021,"Minsk city, Nezavisimosti Avenue, 196",53.950416,27.70679
022,"Minsk city, Gazeta Pravda Avenue, 25",53.864503,27.482044
023,"Minsk city, Bobruiskaya street, 4",53.891153,27.552995
024,"Minsk city, Bobruiskaya street, 4а",53.891172,27.552911
025,"Minsk city, Tashkentskaya street, 19",53.841543,27.628851
026,"Minsk city, Surganova street, 4",53.930486,27.579231
027,"Minsk city, the territory of the National Airport ""Minsk""",53.890385,28.032155
028,"Minsk city, Pobediteley avenue, 59",53.922331,27.526299
029,"Minsk city, Pobediteley avenue, 19",53.911447,27.544808
03,"Minsk, Dzerzhinsky Avenue, 104",53.860084,27.478316
030,"Minsk city, Kirova street, 15",53.896057,27.556896
031,"Minsk city, Brilevskaya street, 2",53.878398,27.533519
032,"Minsk city, Nezavisimosti Avenue, 11",53.897044,27.550231
033,"Minsk city, Nezavisimosti Avenue, 8",53.893896,27.550029
034,"Minsk city, Karla Marksa street, 14",53.89709,27.555977
035,"Minsk city, Zhasminovaya street",53.930608,27.64704
036,"Minsk city, Nalibokskaia street, 10",53.927489,27.437317
037,"Minsk city, Nezavisimosti Avenue, 169",53.94414,27.665928
038,"Minsk city, Kamenogorskaia street, 28",53.914261,27.415612
039,"Minsk city, Mayakovskogo street, 10",53.860428,27.573761
04,"Minsk, Pobediteley Avenue, 9",53.909889,27.545799
040,"Minsk city, Bersona street, 14",53.897119,27.546309
041,"Minsk city, Surganova street, 2",53.91876,27.603535
042,"Minsk city, Partizanskogo Avenue, 2",53.886124,27.581914
043,"Minsk city, Dunina-Marcinkevicha street, 8",53.90629,27.492553
044,Nil,53.91583,27.541385
045,"Minsk city, Yanki Kupaly street,7",53.901167,27.56964
046,"Minsk city, Rokossovskogo Avenue, 85",53.860213,27.607281
047,"Minsk city, Chervyakova street, 64",53.930918,27.54819
048,"Minsk city, Esenina street, 19",53.848452,27.460501
049,"Minsk city, Kirova street, 8",53.894946,27.555794
05,"Minsk region, Minsk district, a/g Zhdanovichi, 38",53.955007,27.44644
050,"Minsk city, Lenina street, 19",53.897822,27.563222
051,"Minsk city, Lubimova Avenue, 39",53.863269,27.454159
052,"Minsk city, Ponomarenko street, 10",53.894511,27.476285
053,"Minsk city, Igumenskiy tract, 45",53.837423,27.575557
054,"Minsk city, Engelsa street, 10",53.903204,27.558784
055,"Minsk city, Mihasia Lynkova street, 7",53.926886,27.498105
056,"Minsk city, Russiyanova street, 13",53.937038,27.686391
057,"Minsk city, Matusevicha street, 36",53.91548,27.473284
058,"Minsk city, Pushkina Avenue, 169",53.914616,27.493811
059,"Minsk city, Pritytskogo street, 10",53.909418,27.485124
06,"Minsk, Dzerzhinsky Avenue, 126",53.846685,27.470298
060,"Minsk city, Korzhenevskogo street, 25",53.846476,27.500728
061,"Minsk city, Dzerzhinskogo Avenue, 73",53.864071,27.487352
062,"Minsk, Kollektornaia street, 10",53.901292,27.541376
063,"Minsk city, Boleslava Beruta street, 14",53.903064,27.503351
064,"Minsk city, Akademika Fedorova street, 5",53.883818,27.426069
065,"Minsk city, Chicherina street, 21",53.915491,27.565972
066,"Minsk city, Kizhevatova street, 9",53.850571,27.53878
067,"Minsk city, Olshevskogo street, 20",53.917708,27.503207
068,"Minsk city, Voloha street, 1",53.898167,27.52553
069,"Minsk city, Burdeinogo street, 6",53.903514,27.45618
07,"Minsk, Partizansky Avenue, 182",53.848366,27.70012
070,"Minsk city, Kozlova street, 2",53.909699,27.578764
071,Nil,53.955633,27.620123
072,"Minsk city, Karla Libknehta street, 79",53.893959,27.519934
073,"Minsk city, Raduzhnaya street, 27-2",53.934748,27.493586
074,"Minsk city, Miastrovskaya street, 24",53.939561,27.465945
075,"Minsk city, Lenina street, 50",53.889513,27.577462
08,"Minsk, Uborevich street, 176",53.83602,27.604768
09,"Minsk, Kamennogorskaya street, 3/1",53.91179,27.4136
1,"Vitebskoblnefteproduct, Beshenkovichi highway, 52, 210007, Vitebsk region, Vitebsk",55.152046,30.127077
10,"Minsk city, Nekrasova street, 112",53.939722,27.571389
14,"motorway Brest - Border of the Russian Federation, 346 km (left)",53.723726,27.504024
17,"Lidanefteproduct,4-th km(1) M-11 231381, Voronovo district, Grodno region, Belarus",54.234534,25.357986
17,"Myadel district, Naroch, st. Oktyabrskaya, 35",54.91141,26.700411
18,"Gomel region, Gomel district, Gomel city, Geroyev Podpol'shchikov str.20",52.468056,30.974444
18,"Brestoblnefteproduct; Street Pushyanskaya 2A; 225063, Kamenec district, Brest region, Belarus, Kamenyuki agro-town",52.5544,23.7951
2,"Mogilev region, Mogilev district, Mogilev city, Pervomaiskay street,146",53.9341,30.33423
20,"Gomel region, Gomel district, Gomel city,  Khataevicha str. 40",52.443638,31.023259
21,"Lidanefteprodukt, 172-th km,M-6,231308, Lida district, Grodno region,Belarus.",53.844658,25.183266
22,"Minsk city, Volodko street, 3",53.884392,27.562536
23,"Minsk city, Pobediteley Avenue, 143",53.949722,27.447222
25,"Minsk region, Stolbtsovskiy  district, motorway M-1, 288 km, 1",53.533611,26.764689
27,"Minsk city, V.Syrokomli street, 9",53.843055,27.559166
28,"motorway Brest - border of the Russian Federation M-1 346 km (right), the village area of ​​Ugly",53.723056,27.505278
28,"Gomel region, Gomel district, Teryukhskiy Sel'skiy Sovet, 18, near agrotown Novaya Guta",52.101615,30.971571
29,"Brest region, Baranovichi district, 226-th km of Brest highway, 3",53.191667,26.075278
29,"Mogilev region, Bobruisk district, track M-5, 131 km, 2",53.215192,29.083108
3,"Vitebskoblnefteproduct, Leningradskaja street, 178a, 210015, Vitebsk region, Vitebsk, Belarus",55.225734,30.115542
3,"Agro-town Jodki, 124, 231310, Lida district, Grodno region, Tret'jakovskij village council, Belarus",53.838286,25.344623
30,"Minsk region, motorway Minsk-Brest R-1, 12th km, 2",53.817929,27.428333
31,"Grodno region, town Zelva, str. Shossejnaja, 1",53.141944,24.803056
33,"Vitebskoblnefteprodykt,Respublika Belarus,Vitebski region,211180 Lepel sity, Cyikova street ,199",54.884338,28.728319
37,"Mogilev region, Mogilev district, Mogilev city, Chelyuskintsev Street, 8",53.893278,30.325111
38,57 km road Minsk-Grodno,54.051493,26.770348
39,"Gomel city, Kosareva str. 20",52.406157,30.917856
4,"Minsk city, Partizansky Avenue, 156a",53.858055,27.678333
4,"Brestoblnefteprodukt; Kovel highway 105; 224002, Brest region, Brest, Belarus",52.0536,23.7234
40,"Mogilev region, Mogilev district, Mogilev city, Gabrovskay Street, 39",53.871083,30.355694
43,"Kalinkovichi city, 50 let Oktyabrya str., 54",52.124444,29.304167
44,"Brest region, Beryoza district, 123-th km of Brest highway, 2",52.550278,25.063611
45,"Minsk city, Nezavisimosti  Avenue, 200",53.952222,27.713055
49,"Minsk region, Slutskiy district, Kirovskiy village council, motorway R-23, 109 km, 1",52.984169,27.503611
5,"Minsk region, Berezinsky borough, city of Berezino, Maksim Gorkogo st., 50",53.829326,28.984122
52,"Vitebskoblnefteproduct, 211024, Orshansky district, Vitebsk region, Vysokoe village, Belarus",54.62716,30.43605
53,"Vitebskoblnefteproduct, 575-th km of Brest-Minsk-Russian border road, 211024, Orshansky district, Vitebsk region, Belarus",54.624752,30.453122
57,"Minsk city, Dolginovskiy Trakt, 189",53.968429,27.526385
59,"Vitebskoblnefteproduct, 211070, Tolochinsky district, Vitebsk region, Myravnichi village, Belarus",54.43475,29.6044
59,"Gomel region, Gomel district, track M-5, 285-th km, 2",52.492828,30.687603
6,"Brestoblnefteprodukt; Warsaw highway 3; 224003, Brest region, Brest, Belarus",52.0771,23.7235
6,"Minsk region, Smolevichsky district, M-1, 391 km, 2",53.964446,28.025854
6,"​​Minsk city, Logoyskiy trakt, 49",53.961111,27.625315
60,"Vitebskoblnefteproduct, 211070, Tolochinsky district, Vitebsk region, Myravnichi village, Belarus",54.4367,29.60463
62,"Minsk city, Ilimskaya street, 6G",53.889382,27.692291
67,"Mogilev region,  Belynichi district, track M-4, 132 km,1",53.906433,29.399433
68,"Mogilev region,  Mogilev district, track M-8, 232 km,1",53.91487,30.4712
69,"Mogilev region,  Belynichi district, track M-4, 132 km,3",53.9094,29.4112
7,"road Minsk-Gomel, 47-km (left)",53.620225,28.05086
71,"Vitebskoblnefteprodykt,Respublika Belarus,Vitebski region,211440 Polatski district,Polotsk town, Vilniskae highway.2",55.474099,28.745358
74,"Brestoblnefteprodukt, Brest region, Luninetsky district, 0.9 km to the north-west from the city of Mikashevichi",52.2426,27.4523
74,"Minsk region Minsk Street. Tankovaya,8",53.923028,27.742625
76,"M-1,494-th km, 76",54.375383,29.3149
76,"Brest region, Ivanovo R-n, Lastovetsky s/s, M-10, 438 km, 10",52.1568,25.5597
78,"Vitebskoblnefteproduct, 33 Armii strit, 24, 210038, Vitebsk region, Vitebsk",55.16386,30.284694
78,"Gomel region, Rogachev district, Dovskiy Sel'skiy Sovet, Dovsk agrotown, Gomel'skaya str. 2B",53.155437,30.460582
78,"Minsk region, Minsk district, M4 19 km, 3",53.80534,27.798022
81,"127-th km of the М-7 highway, 4, 231103, Oshmyany district, Grodno region, Belarus",54.44,25.965
83,"Gomel region, Gomel district, track M-150, 4-th km, 1",52.3676,31.003
84,"Grodno region, Grodno district, highway M-6, 291 km, 1",53.531543,23.683868
